vehicle_id,driver_id,manufacturer,model,vehicle_type,battery_capacity_kwh,battery_percentage,motor_power_kw,motor_power_bhp,total_torque_nm,drive_type,claimed_range_km,estimated_range_km,trip_id,driver_name,driver_experience_years,mail,password,registration_number,vehicle_weight_gvwr_kg,trip_date,road_type,trip_duration_minutes,trip_distance_km,trip_status,speed_kmph,avg_speed_kmph,max_speed_kmph,odometer_km,vehicle_motion_status,battery_temperature_c,motor_temperature_c,energy_consumption_kwh,energy_consumption_rate_kwh_100km,charging_status,energy_added_kwh,charging_cost_inr,driving_behavior,driver_rating,driver_score,overspeed_count,harsh_braking_count,rapid_acceleration_count,base_fare_inr,distance_fare_inr,time_fare_inr,surge_amount_inr,tax_inr,discount_inr,gross_revenue_inr,commission_inr,net_revenue_inr,energy_cost_per_trip_inr,driver_salary_per_trip_inr,maintenance_cost_per_trip_inr,vehicle_total_operating_cost_inr,trip_profit_inr,profit_margin_percent,vehicle_in_garage,maintenance_type,maintenance_status,maintenance_date,last_maintenance_date,next_maintenance_date,acceleration_0_100_s,top_speed_kmh,car_length_mm,car_width_mm,car_height_mm,wheelbase_mm,cargo_volume_l,kerb_weight_kg,max_payload_kg
EV001,D001,Tata,Tiago EV,Hatchback,24.0,52.08,55,75.0,114,FWD,285.0,97.65,TRIP00000011,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,City,158,62.88,Completed,37.3,23.9,46.9,5837.04,Running,29.2,39.6,8.05,12.8,Not Charging,0.0,0.0,Normal,3.81,78.93,0,2,3,50.0,754.56,316.0,26.41,50.65,20.0,1177.62,176.64,1000.98,60.38,159.15,17.67,237.2,763.78,64.86,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,48.41,55,75.0,114,FWD,285.0,59.92,TRIP00000012,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,Highway,55,84.23,Completed,108.8,91.8,120.0,5921.27,Running,36.2,58.3,16.33,19.39,Not Charging,0.0,0.0,Moderate,4.28,87.9,5,0,0,50.0,1010.76,110.0,4.99,64.99,20.0,1220.74,183.11,1037.63,122.48,176.05,17.01,315.54,722.09,59.15,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,58.15,55,75.0,114,FWD,285.0,84.99,TRIP00000013,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-01,Highway,16,21.44,Completed,68.9,80.8,107.3,5942.71,Running,39.3,68.5,3.52,16.42,Not Charging,0.0,0.0,Moderate,4.18,89.11,5,0,1,50.0,257.28,32.0,23.87,19.86,0.0,383.01,57.45,325.56,26.4,121.45,36.45,184.3,141.26,36.88,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,38.78,55,75.0,114,FWD,285.0,69.98,TRIP00000014,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,28,10.0,Completed,31.1,21.5,31.9,5952.71,Running,27.9,49.8,1.33,13.3,Not Charging,0.0,0.0,Normal,4.51,85.94,0,4,1,50.0,120.0,56.0,19.43,10.67,20.0,236.1,35.42,200.68,9.98,107.8,22.78,140.56,60.12,25.46,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,46.59,55,75.0,114,FWD,285.0,96.14,TRIP00000015,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,40,27.72,Completed,16.0,41.7,61.3,5980.43,Running,31.1,47.1,3.22,11.63,Not Charging,0.0,0.0,Normal,4.08,84.13,1,2,2,50.0,332.64,80.0,7.1,22.69,50.0,442.43,66.36,376.07,24.15,120.8,41.6,186.55,189.52,42.84,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,65.67,55,75.0,114,FWD,285.0,123.61,TRIP00000016,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,127,74.05,Completed,43.0,35.0,56.5,6054.48,Running,25.1,38.7,9.44,12.75,Not Charging,0.0,0.0,Normal,4.03,79.66,1,3,2,50.0,888.6,254.0,3.43,58.8,30.0,1224.83,183.72,1041.11,70.8,176.05,28.7,275.55,765.56,62.5,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,67.49,55,75.0,114,FWD,285.0,144.49,TRIP00000017,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,67,41.81,Completed,21.3,37.7,59.1,6096.29,Running,31.6,36.1,4.69,11.21,Not Charging,0.0,0.0,Normal,4.11,89.79,0,2,4,50.0,501.72,134.0,19.32,37.25,0.0,742.29,111.34,630.95,35.18,156.55,36.24,227.97,402.98,54.29,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,62.64,55,75.0,114,FWD,285.0,128.05,TRIP00000018,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,128,43.71,Completed,24.0,20.5,43.8,6140.0,Running,29.1,49.5,5.13,11.74,Not Charging,0.0,0.0,Aggressive,4.74,87.92,0,5,0,50.0,524.52,256.0,55.39,37.9,0.0,923.81,138.57,785.24,38.48,141.6,42.9,222.98,562.26,60.86,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,46.52,55,75.0,114,FWD,285.0,82.22,TRIP00000019,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,106,78.21,Completed,11.8,44.2,65.2,6218.21,Running,32.1,35.5,10.62,13.58,Not Charging,0.0,0.0,Normal,4.62,93.58,1,4,4,50.0,938.52,212.0,7.35,63.59,20.0,1251.46,187.72,1063.74,79.65,189.7,31.45,300.8,762.94,60.96,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,47.44,55,75.0,114,FWD,285.0,82.5,TRIP00000020,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,15,10.0,Completed,17.4,40.8,64.7,6228.21,Running,33.4,45.1,1.38,13.8,Not Charging,0.0,0.0,Moderate,3.79,72.47,0,4,3,50.0,120.0,30.0,22.84,11.24,20.0,214.08,32.11,181.97,10.35,110.4,41.69,162.44,19.53,9.12,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,68.58,55,75.0,114,FWD,285.0,80.76,TRIP00000021,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,Highway,32,51.63,Completed,85.2,98.1,120.0,6279.84,Running,34.4,57.5,10.52,20.38,Not Charging,0.0,0.0,Normal,4.57,85.86,4,0,0,50.0,619.56,64.0,38.59,44.21,0.0,816.36,122.45,693.91,78.9,157.2,19.01,255.11,438.8,53.75,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,40.85,55,75.0,114,FWD,285.0,76.12,TRIP00000022,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,159,67.24,Completed,19.7,25.3,40.3,6347.08,Running,30.1,49.7,8.66,12.88,Not Charging,0.0,0.0,Safe,4.34,95.05,1,3,1,50.0,806.88,318.0,30.49,54.57,0.0,1259.94,188.99,1070.95,64.95,166.3,32.78,264.03,806.92,64.04,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,55.36,55,75.0,114,FWD,285.0,115.53,TRIP00000023,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,208,85.0,Completed,21.0,24.5,42.1,6432.07,Running,33.7,38.7,9.78,11.5,Not Charging,0.0,0.0,Moderate,4.7,91.59,0,3,3,50.0,1020.0,416.0,33.86,64.99,0.0,1584.85,237.73,1347.12,73.35,163.7,39.26,276.31,1070.81,67.57,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,57.65,55,75.0,114,FWD,285.0,104.19,TRIP00000024,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,90,36.95,Completed,32.3,24.6,34.8,6469.03,Running,26.3,48.9,4.91,13.28,Not Charging,0.0,0.0,Normal,4.14,85.99,0,2,6,50.0,443.4,180.0,4.98,30.62,50.0,659.0,98.85,560.15,36.83,137.05,37.22,211.1,349.05,52.97,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,52.26,55,75.0,114,FWD,285.0,124.18,TRIP00000025,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,169,77.67,Completed,30.5,27.6,37.7,6546.7,Running,25.3,41.3,7.84,10.1,Not Charging,0.0,0.0,Safe,4.49,91.0,0,1,4,50.0,932.04,338.0,2.29,61.52,50.0,1333.85,200.08,1133.77,58.8,179.95,26.62,265.37,868.4,65.1,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,52.8,55,75.0,114,FWD,285.0,62.98,TRIP00000026,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,Highway,28,45.76,Completed,86.2,96.4,120.0,6592.46,Running,40.4,65.7,9.21,20.12,Not Charging,0.0,0.0,Moderate,4.7,96.58,1,1,0,50.0,549.12,56.0,26.94,40.0,30.0,692.06,103.81,588.25,69.08,156.55,25.02,250.65,337.6,48.78,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,62.07,55,75.0,114,FWD,285.0,143.1,TRIP00000027,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,72,39.98,Completed,45.7,33.1,46.7,6632.44,Running,33.9,38.5,4.16,10.41,Not Charging,0.0,0.0,Normal,4.14,88.92,0,5,2,50.0,479.76,144.0,31.5,33.26,20.0,718.52,107.78,610.74,31.2,133.8,42.26,207.26,403.48,56.15,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,65.99,55,75.0,114,FWD,285.0,125.2,TRIP00000028,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-02,City,177,90.78,Completed,29.4,30.8,42.3,6723.22,Running,26.2,36.2,11.48,12.65,Not Charging,0.0,0.0,Normal,4.94,100.0,0,9,2,50.0,1089.36,354.0,23.64,73.85,30.0,1560.85,234.13,1326.72,86.1,202.05,32.49,320.64,1006.08,64.46,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,52.07,55,75.0,114,FWD,285.0,111.98,TRIP00000029,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,City,145,65.97,Completed,17.5,27.3,41.2,6789.19,Running,26.8,44.0,7.36,11.16,Not Charging,0.0,0.0,Normal,3.7,71.38,0,6,1,50.0,791.64,290.0,34.71,52.22,30.0,1188.57,178.29,1010.28,55.2,154.6,37.69,247.49,762.79,64.18,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,48.8,55,75.0,114,FWD,285.0,84.81,TRIP00000030,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,City,98,57.85,Completed,22.5,35.3,48.0,6847.04,Running,26.2,45.4,7.99,13.81,Not Charging,0.0,0.0,Moderate,4.45,84.96,0,1,4,50.0,694.2,196.0,12.36,45.63,0.0,998.19,149.73,848.46,59.92,150.7,22.39,233.01,615.45,61.66,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,60.17,55,75.0,114,FWD,285.0,72.79,TRIP00000031,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,Highway,23,41.77,Completed,106.0,109.6,120.0,6888.82,Running,42.9,66.9,8.29,19.84,Not Charging,0.0,0.0,Normal,4.31,87.96,2,0,3,50.0,501.24,46.0,34.96,34.51,0.0,666.71,100.01,566.7,62.18,133.8,16.48,212.46,354.24,53.13,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,56.04,55,75.0,114,FWD,285.0,114.56,TRIP00000032,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,City,98,38.47,Completed,17.6,23.5,33.9,6927.29,Running,26.7,44.7,4.52,11.74,Not Charging,0.0,0.0,Safe,4.62,91.43,0,3,3,50.0,461.64,196.0,21.64,32.96,0.0,762.24,114.34,647.9,33.9,140.95,24.93,199.78,448.12,58.79,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,57.88,55,75.0,114,FWD,285.0,118.53,TRIP00000033,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,City,54,24.57,Completed,23.4,27.3,50.9,6951.86,Running,34.0,44.1,2.88,11.72,Not Charging,0.0,0.0,Moderate,4.41,92.3,0,2,4,50.0,294.84,108.0,0.47,20.77,0.0,474.08,71.11,402.97,21.6,122.75,32.07,176.42,226.55,47.79,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,41.28,55,75.0,114,FWD,285.0,56.26,TRIP00000034,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,Highway,36,48.52,Completed,72.1,80.6,96.5,7000.37,Running,44.1,74.1,8.54,17.61,Not Charging,0.0,0.0,Moderate,3.65,72.91,1,0,0,50.0,582.24,72.0,23.92,40.91,50.0,719.07,107.86,611.21,64.05,152.65,19.31,236.01,375.2,52.18,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,44.41,55,75.0,114,FWD,285.0,49.16,TRIP00000035,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,Highway,52,83.25,Completed,90.4,96.9,111.6,7083.62,Running,40.6,54.0,18.05,21.68,Not Charging,0.0,0.0,Aggressive,4.16,87.15,4,0,2,50.0,999.0,104.0,77.88,70.54,30.0,1271.42,190.71,1080.71,135.38,192.3,18.53,346.21,734.5,57.77,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,46.76,55,75.0,114,FWD,285.0,62.59,TRIP00000036,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,Highway,68,81.51,Completed,84.1,72.1,98.7,7165.13,Running,42.9,54.5,14.61,17.93,Charging,11.06,88.47,Normal,4.23,85.22,1,1,0,50.0,978.12,136.0,22.4,74.73,0.0,1261.25,189.19,1072.06,109.57,244.3,21.81,375.68,696.38,55.21,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,80.58,55,75.0,114,FWD,285.0,152.16,TRIP00000037,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,City,147,71.41,Completed,29.7,29.2,39.3,7236.54,Running,33.5,44.3,9.08,12.71,Not Charging,0.0,0.0,Normal,4.7,92.22,0,2,5,50.0,856.92,294.0,12.51,57.67,50.0,1221.1,183.16,1037.94,68.1,176.05,29.29,273.44,764.5,62.61,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,59.98,55,75.0,114,FWD,285.0,110.14,TRIP00000038,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,City,81,42.6,Completed,32.5,31.4,52.4,7279.14,Running,27.7,42.7,5.57,13.07,Not Charging,0.0,0.0,Aggressive,4.14,86.75,0,7,5,50.0,511.2,162.0,70.79,37.7,50.0,781.69,117.25,664.44,41.78,139.65,33.82,215.25,449.19,57.46,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,49.42,55,75.0,114,FWD,285.0,70.14,TRIP00000039,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,Highway,87,108.38,Completed,73.3,74.5,98.1,7387.52,Running,35.7,61.5,18.33,16.91,Not Charging,0.0,0.0,Normal,4.49,88.18,2,0,0,50.0,1300.56,174.0,17.91,90.82,0.0,1633.29,244.99,1388.3,137.48,245.6,35.23,418.31,969.99,59.39,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
EV001,D001,Tata,Tiago EV,Hatchback,24.0,69.9,55,75.0,114,FWD,285.0,140.97,TRIP00000040,Aarav Sharma,16,driver1@gmail.com,Driver@1,TN01EV00001,1580.0,2026-01-03,City,120,79.52,Completed,26.1,39.6,51.9,7467.04,Running,32.0,38.2,9.46,11.9,Not Charging,0.0,0.0,Moderate,4.88,100.0,0,4,2,50.0,954.24,240.0,16.85,61.05,30.0,1292.14,193.82,1098.32,70.95,165.0,23.82,259.77,838.55,64.9,No,Routine Inspection,Completed,2026-06-04,2026-04-07,2026-08-02,11.2,120.0,3825,1684,1562,2400,240,1155.0,425.0
